holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,traffic_volume
'None',291.08,0,0,1,'Clear','sky is clear',997
'None',273.14,0,0,90,'Clouds','overcast clouds',4912
'None',295.35,0.25,0,75,'Thunderstorm','proximity thunderstorm',6223
'None',272.65,0,0,5,'Fog','fog',6214
'None',294.69,1.52,0,1,'Drizzle','light intensity drizzle',2298
'None',290.36,0,0,1,'Clear','sky is clear',917
'None',290.94,0.94,0,44,'Mist','mist',5891
'None',263.2,0,0,90,'Snow','heavy snow',1138
'None',278.38,1.52,0,75,'Rain','moderate rain',1248
'None',292.65,25.32,0,8,'Rain','very heavy rain',958
'None',287.08,5.84,0,75,'Rain','heavy intensity rain',3117
'None',285.55,0,0,1,'Clear','sky is clear',640
'None',301.35,0,0,75,'Clouds','broken clouds',6860
'None',278.52,1.07,0,64,'Rain','moderate rain',4162
'None',274.3,1.27,0,64,'Mist','mist',4739
'None',284.79,1.4,0,75,'Rain','moderate rain',1609
'None',284.96,4.45,0,90,'Mist','mist',4170
'None',279.21,0.89,0,90,'Rain','light rain',2647
'None',285.82,0.25,0,75,'Rain','light rain',3121
'None',271.73,0.51,0,90,'Rain','light rain',5328
'None',289.07,1.19,0,68,'Rain','moderate rain',4518
'None',283.79,0.64,0,0,'Rain','light rain',2917
'None',296.54,1.8,0,40,'Rain','moderate rain',1376
'None',276.18,0.25,0,1,'Rain','light rain',1733
'None',296.11,0,0,1,'Clear','sky is clear',1625
'None',295.72,0,0,1,'Thunderstorm','proximity thunderstorm',414
'None',291.97,0,0,1,'Clear','sky is clear',847
'None',265.05,0,0,90,'Clouds','overcast clouds',670
'None',290.49,0.51,0,90,'Rain','moderate rain',2582
'None',297.58,0,0,1,'Clear','sky is clear',4045
'None',280.65,0,0,5,'Clear','sky is clear',3918
'None',270.23,0,0,1,'Clear','sky is clear',2691
'None',290.97,1.52,0,90,'Rain','moderate rain',301
'None',285.33,0.25,0,1,'Mist','mist',388
'None',260.64,0,0,90,'Mist','mist',5771
'None',281.1,0.64,0,90,'Mist','mist',4554
'None',290.89,0.64,0,24,'Thunderstorm','proximity thunderstorm',398
'None',302.76,0,0,40,'Clouds','scattered clouds',6234
'None',264.86,0,0,90,'Mist','mist',535
'None',291.91,0.25,0,1,'Rain','light rain',3205
'None',268.15,0,0,90,'Mist','mist',5350
'None',292.92,0.25,0,12,'Rain','light rain',2452
'None',273.48,2.11,0,90,'Rain','moderate rain',2125
'None',287.6,0.81,0,90,'Drizzle','drizzle',2924
'None',294.31,0.25,0,90,'Mist','mist',321
'None',273.67,0,0.13,90,'Mist','mist',5548
'None',291.59,0,0,75,'Rain','moderate rain',3651
'None',278.72,0,0,90,'Clouds','overcast clouds',278
'None',275.89,0.64,0,64,'Rain','light rain',4410
'None',278.16,0,0,40,'Clouds','scattered clouds',4609
'None',283.69,0.25,0,1,'Fog','fog',1434
'None',290.53,0.51,0,90,'Rain','heavy intensity rain',2514
'None',285.57,1.02,0,90,'Rain','moderate rain',1734
'None',290.49,2.54,0,90,'Rain','heavy intensity rain',520
'None',270.91,0,0,90,'Snow','heavy snow',2520
'None',287,1.83,0,90,'Thunderstorm','thunderstorm',1924
'None',283.43,0,0,90,'Drizzle','light intensity drizzle',676
'None',294.53,0.25,0,75,'Rain','moderate rain',3476
'None',280.2,0,0,1,'Clear','sky is clear',3521
'None',263.76,0,0,90,'Clouds','overcast clouds',330
'None',275.38,0,0,75,'Clouds','broken clouds',5022
'None',284.43,0.25,0,75,'Rain','light rain',353
'None',268.39,0,0,90,'Snow','heavy snow',534
'None',289.48,5.97,0,0,'Mist','mist',4503
'None',301.01,0,0,1,'Clear','sky is clear',3358
'None',275.65,0,0,90,'Clouds','overcast clouds',4070
'None',273.98,0,0,1,'Clear','sky is clear',5024
'None',284.68,0.25,0,1,'Rain','light rain',550
'None',290.82,0,0,40,'Mist','mist',348
'None',294.13,1.04,0,90,'Rain','moderate rain',3047
'None',292.97,1.09,0,75,'Drizzle','light intensity drizzle',5700
'None',250.75,0,0,1,'Haze','haze',775
'None',297.36,0,0,75,'Clouds','broken clouds',5656
'None',291.94,4.74,0,75,'Rain','heavy intensity rain',5272
'None',292.07,0.25,0,90,'Drizzle','light intensity drizzle',5254
'None',276.06,0,0,40,'Clouds','scattered clouds',2074
'None',275.68,0,0,1,'Clear','sky is clear',5057
'None',291.22,2.49,0,90,'Rain','moderate rain',4166
'None',287.1,4.32,0,92,'Rain','heavy intensity rain',721
'None',288.79,0,0,90,'Clouds','overcast clouds',5052
'None',297.43,0.25,0,1,'Rain','light rain',5775
'None',292.82,0.51,0,90,'Rain','light rain',4634
'None',280.15,0,0,1,'Clear','sky is clear',6823
'None',278.21,0,0,90,'Mist','mist',6267
'None',289.81,0,0,1,'Clear','sky is clear',725
'None',269.63,0,0,64,'Clouds','broken clouds',5024
'None',277.94,1.4,0,92,'Drizzle','drizzle',2934
'None',291.79,0.68,0,100,'Rain','light rain',5640
'None',291.28,0,0,1,'Clear','sky is clear',443
'None',292.22,1.4,0,40,'Rain','moderate rain',537
'None',287.12,0,0,90,'Drizzle','light intensity drizzle',6244
'None',295.98,1,0,40,'Thunderstorm','proximity thunderstorm',2607
'None',298.96,0,0,1,'Thunderstorm','proximity thunderstorm',5990
'None',278.16,0,0,90,'Mist','mist',3092
'None',271.3,1.52,0,64,'Snow','light snow',4173
'None',271.22,0,0,90,'Mist','mist',4326
'None',256.21,0,0,90,'Haze','haze',1836
'None',291.65,0,0,1,'Clear','sky is clear',6759
'None',292.62,1.06,0,75,'Drizzle','drizzle',522
'None',282.34,0.94,0,90,'Mist','mist',2870
'None',289.04,2.98,0,90,'Rain','heavy intensity rain',1039
'None',273.8,0,0.25,90,'Snow','light snow',4933
'None',292.18,0.51,0,75,'Thunderstorm','thunderstorm with heavy rain',4885
'None',290.25,7.7,0,68,'Rain','heavy intensity rain',5656
'None',290.9,9.62,0,90,'Thunderstorm','proximity thunderstorm',3898
'None',271.02,0,0,1,'Clear','sky is clear',402
'None',291.69,0.38,0,75,'Drizzle','drizzle',1561
'None',256.01,0.76,0,90,'Snow','light snow',4233
'None',292.89,0,0,36,'Clouds','scattered clouds',4538
'None',279.15,0,0,90,'Rain','light rain',2418
'None',289.47,7.11,0,92,'Rain','heavy intensity rain',386
'None',296.18,0.51,0,90,'Rain','light rain',4736
'None',292.91,0.25,0,75,'Rain','light rain',5814
'None',290.08,0,0,1,'Clear','sky is clear',1753
'None',292.39,0,0,75,'Clouds','broken clouds',4532
'None',288.5,0.51,0,92,'Rain','light rain',3294
'None',275.01,0,0,90,'Clouds','overcast clouds',4548
'None',287.33,0,0,40,'Clouds','scattered clouds',6559
'None',293.61,0,0,90,'Clouds','overcast clouds',4711
'None',291.47,0.25,0,48,'Rain','moderate rain',368
'None',271.53,0,0,90,'Snow','light snow',2173
'None',287.77,0,0,1,'Clear','sky is clear',383
'None',289.33,0.25,0,90,'Rain','light rain',617
'None',298.51,0.28,0,40,'Rain','proximity shower rain',3275
'None',284.71,0.51,0,90,'Rain','moderate rain',4925
'None',271.15,0,0,90,'Snow','light snow',3860
'None',282.63,0.25,0,1,'Fog','fog',414
'None',291.89,0.98,0,90,'Drizzle','heavy intensity drizzle',5259
'None',284.09,0,0,90,'Drizzle','drizzle',1688
'None',282.18,0,0,40,'Clouds','scattered clouds',474
'None',292.56,8.4,0,92,'Mist','mist',5144
'None',259.17,0.51,0,64,'Mist','mist',332
'Veterans Day',261.68,0,0,1,'Clear','sky is clear',812
'None',276.71,5.58,0,90,'Rain','heavy intensity rain',2954
'None',293.79,3.1,0,90,'Rain','heavy intensity rain',3017
'None',288.71,0.86,0,90,'Rain','moderate rain',4326
'None',291.77,0,0,40,'Clouds','scattered clouds',5136
'None',267.36,0,0,90,'Clouds','overcast clouds',1152
'None',273.08,0,0,90,'Clouds','overcast clouds',4958
'None',285.44,0,0,40,'Fog','fog',6111
'None',293.02,0.3,0,90,'Drizzle','light intensity drizzle',4926
'None',302.04,0.25,0,12,'Rain','light rain',4742
'None',282.53,0,0,1,'Clear','sky is clear',302
'None',286.81,0.76,0,56,'Mist','mist',5747
'None',300.96,5.84,0,44,'Rain','heavy intensity rain',5849
'None',278,0,0,90,'Rain','light rain',634
'None',279.62,0,0,90,'Rain','light rain',608
'None',291.51,2.67,0,90,'Mist','mist',5839
'None',291.61,0.25,0,75,'Mist','mist',1556
'None',275.08,0,0,90,'Mist','mist',530
'None',270.72,0,0,90,'Clouds','overcast clouds',555
'None',277.65,0,0,1,'Clear','sky is clear',6493
'None',294.91,7.62,0,90,'Mist','mist',2821
'None',268.96,0,0,75,'Snow','light snow',4306
'None',295.4,8.4,0,90,'Rain','heavy intensity rain',3628
'None',284.58,1.02,0,90,'Rain','heavy intensity rain',4349
'None',269.01,0,0,75,'Clouds','broken clouds',2344
'None',290.97,5.42,0,90,'Rain','heavy intensity rain',6331
'None',271.78,0,0,1,'Fog','fog',300
'None',284.49,5.27,0,92,'Rain','heavy intensity rain',4463
'None',289.35,0,0,1,'Clear','sky is clear',3959
'None',289.69,2.03,0,88,'Rain','moderate rain',1963
'None',273.51,0,0,90,'Clouds','overcast clouds',4055
'None',290.86,0.76,0,90,'Drizzle','drizzle',6024
'None',295.42,13.46,0,90,'Fog','fog',10
'None',299.781,0,0,0,'Clear','Sky is Clear',2766
'None',295.04,0,0,1,'Clear','sky is clear',5053
'None',297.65,1.27,0,75,'Drizzle','light intensity drizzle',4199
'None',286.14,0.25,0,92,'Rain','moderate rain',4295
'None',281.4,0.25,0,90,'Rain','light rain',4682
'None',284.68,0,0,75,'Clouds','broken clouds',2677
'None',302.27,0,0,0,'Clear','Sky is Clear',3458
'None',291.49,1.35,0,90,'Mist','mist',879
'None',294.87,23.8,0,90,'Rain','very heavy rain',346
